proNo,proID,Lat,Lng,proType,Price_k,bedroom,bathroom,parking,age_md,income_md,local_Per,English_Per,rent_md,sch_rank,to_station,Time_train,Total_Time,supermarket,hospital,shopping_center,clinic,Formated_Address,Postal_Code,Locality,pro_type_no,pro_type_real,price_real,link,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2481,113073395,-37.865096,145.120664,House,608,3,2,1,40,716,0.67,0.72,428,91,25,32,56,1646,1671,1784,677,"2/9 Gross Ct, Mount Waverley VIC 3149, Australia",3149,Mount Waverley,1,House,608000,http://www.realestate.com.au/property-house-vic-mount+waverley-113073395,1,1,,,,,,,,,1,1,,,1,,,,,,1,,,,,,,,,,,,,,6
2482,113073619,-37.797648,144.964912,Apartment,187,1,1,0,21,0,0.06,0.2,351,58,19,4,23,290,209,1464,641,"622/800-802 Swanston St, Carlton VIC 3053, Australia",3053,Carlton,0,Apartment,187000,http://www.realestate.com.au/property-apartment-vic-carlton-113073619,,1,,,,1,,1,,,1,,,,,,,1,,,,1,1,,,,,1,1,,,,,,9
2483,113074319,-37.713051,145.091986,House,487,3,1,1,38,538,0.73,0.77,321,235,14,42,56,1138,869,468,332,"21 Orana Dr, Watsonia VIC 3087, Australia",3087,Watsonia,1,House,486500,http://www.realestate.com.au/property-house-vic-watsonia-113074319,1,1,,1,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,6
2484,113074819,-37.772482,144.910143,House,560,2,1,1,31,857,0.63,0.67,318,240,16,12,28,1119,161,1674,606,"4/119 The Parade, Ascot Vale VIC 3032, Australia",3032,Ascot Vale,1,Townhouse,560000,http://www.realestate.com.au/property-townhouse-vic-ascot+vale-113074819,1,1,,,1,1,1,,1,,1,,1,,,,1,,1,,,1,,,,,,,,,,,,,11
2485,113074911,-37.82928,145.101578,Unit,490,2,1,1,41,659,0.66,0.77,360,100,13,21,34,2037,2268,1852,299,"3/26 Florence Rd, Surrey Hills VIC 3127, Australia",3127,Surrey Hills,2,Unit,490000,http://www.realestate.com.au/property-unit-vic-surrey+hills-113074911,,1,1,1,,,,,1,,1,1,,,,,,,,,,1,,,,,,,,,,,,,7
2486,113075203,-37.76799,144.836608,House,400,3,1,2,36,305,0.35,0.24,300,423,27,23,50,1444,1964,3610,431,"102 Westmoreland Rd, Sunshine North VIC 3020, Australia",3020,Sunshine North,1,House,400000,http://www.realestate.com.au/property-house-vic-sunshine+north-113075203,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2487,113075707,-37.978835,145.022529,House,830,3,2,2,46,702,0.74,0.93,390,411,45,32,80,3365,473,3241,388,"32 Second St, Black Rock VIC 3193, Australia",3193,Black Rock,1,House,830000,http://www.realestate.com.au/property-house-vic-black+rock-113075707,,,,,,,,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,6
2488,113075799,-37.733378,144.970668,House,1260,3,1,2,41,562,0.68,0.55,361,272,15,25,40,1123,2554,3409,155,"7/9 De Chene Parade, Coburg North VIC 3058, Australia",3058,Coburg North,1,House,1260000,http://www.realestate.com.au/property-house-vic-coburg+north-113075799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,113075931,-37.971635,145.05967,House,660,3,1,2,38,769,0.81,0.91,336,411,10,40,50,1124,2044,705,1067,"16 Eden St, Cheltenham VIC 3192, Australia",3192,Cheltenham,1,House,660000,http://www.realestate.com.au/property-house-vic-cheltenham-113075931,1,1,,1,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,,,7
2490,113075947,-37.767854,144.836633,House,431,3,1,2,36,305,0.35,0.24,300,423,27,23,50,1459,1959,3621,424,"104 Westmoreland Rd, Sunshine North VIC 3020, Australia",3020,Sunshine North,1,House,430500,http://www.realestate.com.au/property-house-vic-sunshine+north-113075947,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
2491,113076179,-37.790008,144.998211,House,758,2,1,1,37,824,0.71,0.79,271,148,4,20,24,1809,1168,1575,167,"7 Caroline St, Clifton Hill VIC 3068, Australia",3068,Clifton Hill,1,House,758000,http://www.realestate.com.au/property-house-vic-clifton+hill-113076179,1,1,,,,,,,1,,1,1,,,,,,,,1,,,,,,,,,1,,,,,,7
2492,113076235,-37.780956,145.128033,House,815,4,2,2,46,584,0.47,0.43,365,155,45,22,83,558,3152,407,443,"31 Kelly St, Manningham VIC 3108, Australia",3108,Manningham,1,House,815000,http://www.realestate.com.au/property-house-vic-doncaster-113076235,1,,,,,,,,,,1,,1,1,,,,,,,,1,,1,,,,1,,,,,,,7
2493,113076247,-37.869166,144.822263,Unit,450,2,1,1,44,584,0.63,0.74,280,600,11,30,41,703,2263,2262,364,"2/14 Webb St, Altona VIC 3018, Australia",3018,Altona,2,Unit,450000,http://www.realestate.com.au/property-unit-vic-altona-113076247,1,1,1,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,6
2494,113076251,-38.076255,145.12634,Unit,360,2,1,1,44,561,0.68,0.85,270,227,7,59,65,1747,5000,1804,265,"2/9 Poulson St, Carrum VIC 3197, Australia",3197,Carrum,2,Unit,359500,http://www.realestate.com.au/property-unit-vic-carrum-113076251,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,3
2495,113076471,-37.974871,145.049922,Unit,720,3,2,2,42,752,0.78,0.87,350,411,17,40,56,1325,1845,1104,1057,"1 Towers St, Beaumaris VIC 3193, Australia",3193,Beaumaris,2,Unit,720000,http://www.realestate.com.au/property-unit-vic-beaumaris-113076471,,,,,,,,,,,,,,1,1,1,,,,,,,1,,,,,,,,,,,,4
2496,113077075,-37.772729,144.962998,Apartment,560,2,2,1,36,1036,0.61,0.68,361,95,8,15,23,346,1398,313,165,"5/24-26 Merri St, Brunswick VIC 3056, Australia",3056,Brunswick,0,Apartment,560000,http://www.realestate.com.au/property-apartment-vic-brunswick-113077075,1,1,1,,,,1,1,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,8
2497,113077299,-38.055717,145.125556,House,570,3,2,2,34,745,0.73,0.86,315,227,15,57,71,874,5000,2110,191,"1/49 Golden Ave, Chelsea VIC 3196, Australia",3196,Chelsea,1,Townhouse,570000,http://www.realestate.com.au/property-townhouse-vic-bonbeach-113077299,1,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,5
2498,113077415,-37.849319,145.057805,House,985,3,2,2,42,709,0.68,0.77,400,600,17,21,38,948,1885,1124,376,"1/33 Iris Rd, Glen Iris VIC 3146, Australia",3146,Glen Iris,1,Townhouse,985000,http://www.realestate.com.au/property-townhouse-vic-glen+iris-113077415,1,1,1,1,,,,,1,,1,1,1,1,,1,1,,,,,1,,,,,,,,,,,,,12
2499,113079219,-37.862942,145.008041,Apartment,482,2,1,1,31,980,0.59,0.71,301,252,22,16,37,1400,861,1691,383,"4/2 Celeste Ct, St Kilda East VIC 3183, Australia",3183,St Kilda East,0,Apartment,482000,http://www.realestate.com.au/property-apartment-vic-st+kilda+east-113079219,,,,,,1,1,,,,,,,,,,,,,1,,1,,1,,,,,1,,,,,,6
2500,113079311,-37.746193,145.055498,House,594,3,1,3,36,530,0.66,0.69,320,361,15,36,51,1557,1064,1570,221,"4 Haig St, Heidelberg Heights VIC 3081, Australia",3081,Heidelberg Heights,1,House,594000,http://www.realestate.com.au/property-house-vic-heidelberg+heights-113079311,,,,,,,,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,3
2501,113079607,-37.699139,145.120857,House,525,3,2,2,41,669,0.81,0.89,390,260,26,46,72,1256,2826,3314,545,"3/171-173 Saint Helena Rd, Greensborough VIC 3088, Australia",3088,Greensborough,1,Townhouse,525000,http://www.realestate.com.au/property-townhouse-vic-greensborough-113079607,1,,,1,,,1,,,,1,1,,,,,,,,1,,1,,,,,,,,,,,,,7
2502,113079639,-37.816768,144.961161,Apartment,420,1,1,0,29,933,0.38,0.54,380,457,11,7,18,344,776,332,64,"308/394 Collins St, Melbourne VIC 3000, Australia",3000,Melbourne,0,Apartment,420000,http://www.realestate.com.au/property-apartment-vic-melbourne-113079639,1,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,4
2503,113079807,-37.687109,144.885345,Unit,205,1,1,0,63,394,0.59,0.65,197,293,45,30,76,56,5000,126,65,"9/16 S Circular Rd, Gladstone Park VIC 3043, Australia",3043,Gladstone Park,2,Unit,205000,http://www.realestate.com.au/property-unit-vic-gladstone+park-113079807,,1,,,,1,,,1,,1,,,,,,,,1,1,,1,,,,,,,,,,,,,7
2504,113079951,-37.978824,145.15804,House,390,4,2,2,33,357,0.42,0.32,270,600,38,38,75,1993,3331,1943,865,"2/22 Alderney Rd, Springvale South VIC 3172, Australia",3172,Springvale South,1,House,390000,http://www.realestate.com.au/property-house-vic-springvale+south-113079951,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5
2505,113080175,-37.852792,144.996653,Apartment,432,1,1,1,31,1043,0.61,0.69,390,252,11,14,24,524,276,660,283,"101/92 Hornby St, Windsor VIC 3181, Australia",3181,Windsor,0,Apartment,432000,http://www.realestate.com.au/property-apartment-vic-prahran-113080175,1,1,,,,1,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,6
2506,113080195,-37.879156,145.051637,House,822,3,1,1,36,700,0.73,0.74,392,225,13,17,30,533,2425,889,326,"42A Emo Rd, Malvern East VIC 3145, Australia",3145,Malvern East,1,House,822000,http://www.realestate.com.au/property-house-vic-malvern+east-113080195,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,2
2507,113080239,-37.81914,144.992212,Apartment,300,1,1,1,33,1084,0.67,0.81,346,457,8,14,23,574,153,574,172,"8/25 Rotherwood St, Richmond VIC 3121, Australia",3121,Richmond,0,Apartment,299500,http://www.realestate.com.au/property-apartment-vic-richmond-113080239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,113080335,-37.821361,145.006681,House,786,2,1,0,36,1095,0.67,0.74,490,457,14,8,22,811,1270,811,166,"54 Neptune St, Richmond VIC 3121, Australia",3121,Richmond,1,House,786000,http://www.realestate.com.au/property-house-vic-richmond-113080335,1,1,1,,1,,,,,,1,1,1,,,1,,,,1,,,,,,,,,,,,,,,9
2509,113080375,-37.872048,145.168992,House,1300,4,3,2,41,509,0.38,0.43,420,41,20,37,57,610,2487,470,358,"1/14 Lindwall St, Glen Waverley VIC 3150, Australia",3150,Glen Waverley,1,Townhouse,1300000,http://www.realestate.com.au/property-townhouse-vic-glen+waverley-113080375,1,,1,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,5
2510,113080431,-37.940683,145.027925,House,720,3,2,2,40,659,0.71,0.8,270,411,19,34,53,717,927,2926,738,"33 Widdop Cres, Hampton East VIC 3188, Australia",3188,Hampton East,1,House,719500,http://www.realestate.com.au/property-house-vic-hampton+east-113080431,1,,,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,4
2511,113080443,-37.947478,145.035488,House,600,3,1,2,41,680,0.72,0.79,376,411,9,37,46,553,1659,1937,339,"1 Harding St, Highett VIC 3190, Australia",3190,Highett,1,House,600000,http://www.realestate.com.au/property-house-vic-highett-113080443,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,3
2512,113080583,-37.710635,145.087301,Unit,550,3,2,2,36,728,0.86,0.86,270,235,11,42,53,1291,615,152,279,"2/16 Nepean St, Watsonia VIC 3087, Australia",3087,Watsonia,2,Unit,550000,http://www.realestate.com.au/property-unit-vic-watsonia-113080583,1,1,,1,,,1,,,,1,,1,1,,,,,,1,,,,,,,,,,,,,,,8
2513,113080643,-37.829516,145.186558,House,470,3,1,1,35,675,0.68,0.72,320,128,23,31,54,892,2236,752,284,"128 Rooks Rd, Nunawading VIC 3131, Australia",3131,Nunawading,1,House,470011,http://www.realestate.com.au/property-house-vic-nunawading-113080643,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,3
2514,113081195,-37.880788,145.099577,Unit,422,3,1,2,35,468,0.46,0.47,294,245,18,28,45,1455,1889,1403,817,"1/3 Walcha Ct, Chadstone VIC 3148, Australia",3148,Chadstone,2,Unit,422000,http://www.realestate.com.au/property-unit-vic-chadstone-113081195,1,1,1,1,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1
2515,113081983,-38.0438137,145.1250046,Unit,380,3,2,4,38,579,0.69,0.83,270,431,21,55,75,1371,5000,3155,716,"21 Jacksons Rd, Chelsea VIC 3196, Australia",3196,Chelsea,2,Unit,380000,http://www.realestate.com.au/property-unit-vic-chelsea-113081983,,1,,,,,,,1,,1,,,1,,,,,,1,,1,,,,,,,1,,,,,,7
2516,113082519,-37.705734,144.768876,House,435,3,2,2,32,635,0.51,0.39,335,414,14,34,48,903,5000,2517,140,"29 Cressida Cres, Sydenham VIC 3037, Australia",3037,Sydenham,1,House,434500,http://www.realestate.com.au/property-house-vic-sydenham-113082519,1,1,,1,,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,8
2517,113082651,-37.883199,145.188334,House,1039,4,3,2,42,724,0.59,0.69,655,269,35,37,72,2099,3750,2099,1971,"10 Connaught Pl, Glen Waverley VIC 3150, Australia",3150,Glen Waverley,1,House,1038880,http://www.realestate.com.au/property-house-vic-glen+waverley-113082651,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,,1,1,1,,,,,,,1,,1,,,,,17
2518,113082663,-37.866653,145.161818,House,720,4,2,2,45,518,0.47,0.48,360,269,22,35,57,1146,2114,962,777,"6A Rowitta Dr, Glen Waverley VIC 3150, Australia",3150,Glen Waverley,1,House,720000,http://www.realestate.com.au/property-house-vic-glen+waverley-113082663,1,1,,1,,1,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,7
2519,113083055,-37.817959,145.005134,House,710,3,1,0,32,983,0.59,0.61,301,457,20,8,28,578,1045,578,170,"78 Gardner St, Richmond VIC 3121, Australia",3121,Richmond,1,House,710000,http://www.realestate.com.au/property-house-vic-richmond-113083055,,1,1,,,,,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,6
2520,113083695,-37.855479,144.996876,Apartment,407,2,1,1,32,935,0.59,0.66,348,252,8,14,21,306,157,948,124,"2/16 Gertrude St, Windsor VIC 3181, Australia",3181,Windsor,0,Apartment,407000,http://www.realestate.com.au/property-apartment-vic-prahran-113083695,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,3
2521,113084231,-37.8002641,144.9759144,House,875,3,2,0,32,927,0.7,0.89,470,457,19,2,21,290,653,751,224,"18 Cremorne St, Fitzroy VIC 3065, Australia",3065,Fitzroy,1,House,875000,http://www.realestate.com.au/property-house-vic-fitzroy-113084231,1,1,,,,,1,,1,,1,1,,1,,,,,,1,,1,,,,,,1,,,,,,,1
2522,113084599,-37.757684,145.12245,House,562,3,2,2,44,453,0.55,0.53,420,366,45,48,90,1898,4955,2972,726,"5/100 Parker St, Manningham VIC 3107, Australia",3107,Manningham,1,Townhouse,562000,http://www.realestate.com.au/property-townhouse-vic-templestowe+lower-113084599,1,,,,,,,1,,,1,,,1,1,,,,,,,,,,,,,,,,,,,,5
2523,113084647,-37.918181,145.045401,House,902,3,2,2,38,603,0.56,0.57,300,600,12,30,42,323,1973,3904,337,"10 Cushing Ave, Bentleigh VIC 3204, Australia",3204,Bentleigh,1,House,902000,http://www.realestate.com.au/property-house-vic-bentleigh-113084647,1,1,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,1,,,,,,6
2524,113084655,-37.963685,145.148622,Unit,285,2,1,2,36,395,0.41,0.32,277,344,26,36,61,2161,3865,1488,185,"4/21 Amersham Ave, Springvale South VIC 3172, Australia",3172,Springvale South,2,Unit,285000,http://www.realestate.com.au/property-unit-vic-springvale+south-113084655,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
2525,113084679,-37.870768,144.976892,Apartment,682,2,1,1,35,1019,0.63,0.81,351,252,25,16,41,309,516,1091,299,"1/19 Marine Parade, St Kilda VIC 3182, Australia",3182,St Kilda,0,Apartment,682000,http://www.realestate.com.au/property-apartment-vic-st+kilda-113084679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526,113084683,-37.938251,145.018791,House,1021,4,2,4,39,637,0.67,0.75,300,411,20,30,49,826,1270,3725,788,"69 Fewster Rd, Hampton VIC 3188, Australia",3188,Hampton,1,House,1021000,http://www.realestate.com.au/property-house-vic-hampton-113084683,1,,,,,,,,,,1,1,,,1,,,,,,,1,1,,,,,,1,,,,,,7
2527,113084991,-37.791206,144.920291,Apartment,403,2,1,1,32,1100,0.61,0.69,385,600,14,10,24,800,1555,1089,464,"6/1-13 Gatehouse Dr, Kensington VIC 3031, Australia",3031,Kensington,0,Apartment,403000,http://www.realestate.com.au/property-apartment-vic-kensington-113084991,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,4
2528,113085575,-37.788707,144.886886,House,515,3,1,2,31,371,0.38,0.38,276,423,22,15,37,1651,345,1408,331,"19 Maddock St, Footscray VIC 3011, Australia",3011,Footscray,1,House,515000,http://www.realestate.com.au/property-house-vic-footscray-113085575,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,8
2529,113085703,-37.882118,145.110567,House,725,4,2,2,38,634,0.67,0.67,305,245,12,30,42,1619,968,2285,1529,"2/84 Hillview Ave, Mount Waverley VIC 3149, Australia",3149,Mount Waverley,1,Townhouse,725000,http://www.realestate.com.au/property-townhouse-vic-mount+waverley-113085703,1,1,,1,,1,,,1,,1,1,,1,,,,,1,,,,,,,,,,,,,,,,9
2530,113085779,-37.709635,144.776267,House,575,4,2,2,35,561,0.53,0.37,360,414,17,34,51,1104,5000,1898,89,"39 Tudor Rose Cres, Sydenham VIC 3037, Australia",3037,Sydenham,1,House,575000,http://www.realestate.com.au/property-house-vic-sydenham-113085779,1,1,,1,,,,,1,,,1,,1,,1,,,,,,,1,,,1,,1,,,,1,1,1,13
2531,113086223,-37.974869,145.038806,House,725,4,2,4,45,676,0.76,0.91,485,411,30,40,70,2116,1303,1780,572,"41 Morey Rd, Beaumaris VIC 3193, Australia",3193,Beaumaris,1,House,725000,http://www.realestate.com.au/property-house-vic-beaumaris-113086223,1,1,1,1,,,1,,1,,,1,1,,,1,1,,,,,,,,,1,,1,,,,,,,12
2532,113086259,-37.702694,145.117331,House,512,3,1,2,37,713,0.79,0.86,400,260,17,46,63,916,2447,2873,63,"12 Law St, Briar Hill VIC 3088, Australia",3088,Briar Hill,1,House,512000,http://www.realestate.com.au/property-house-vic-briar+hill-113086259,1,1,,,,,,1,,,1,1,1,,,,,,,,,,,,,,,,1,,,,,,7
2533,113086419,-37.810044,145.124612,Unit,456,2,1,1,40,520,0.56,0.51,331,131,16,22,38,1004,587,1033,184,"2/54 Tyne St, Box Hill North VIC 3129, Australia",3129,Box Hill North,2,Unit,456000,http://www.realestate.com.au/property-unit-vic-box+hill+north-113086419,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,2
2534,113086471,-37.862883,145.171172,House,680,3,1,2,38,576,0.51,0.58,421,269,33,37,70,1616,3016,1442,396,"5 Hallows St, Glen Waverley VIC 3150, Australia",3150,Glen Waverley,1,House,680000,http://www.realestate.com.au/property-house-vic-glen+waverley-113086471,1,1,,1,,,1,,,,,,1,,,,,,,1,,1,,,,1,,,1,,,,,,9
2535,113086627,-37.844621,144.878917,House,717,3,1,1,36,791,0.78,0.84,396,319,8,19,27,1493,1858,2299,534,"1 Ford St, Newport VIC 3015, Australia",3015,Newport,1,House,717000,http://www.realestate.com.au/property-house-vic-newport-113086627,1,1,1,,,,,,1,,1,1,1,,,1,,,,1,,1,,,,,,,,,,1,1,1,13
2536,113086723,-37.785057,144.934329,Apartment,315,1,1,0,33,828,0.66,0.76,274,600,9,11,20,611,511,347,452,"3/107 Princes St, Flemington VIC 3031, Australia",3031,Flemington,0,Apartment,315000,http://www.realestate.com.au/property-apartment-vic-flemington-113086723,1,1,,,1,,1,,1,,,,,1,,,,,1,,,,,,,,,1,,,,,,,8
2537,113087427,-37.910724,145.09881,House,551,3,1,1,31,533,0.59,0.57,348,394,20,28,48,1326,2064,1342,357,"1243 North Rd, Oakleigh VIC 3166, Australia",3166,Oakleigh,1,House,550555,http://www.realestate.com.au/property-house-vic-oakleigh-113087427,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,2
2538,113087467,-37.906991,145.003355,House,915,2,1,0,43,919,0.64,0.76,560,139,4,23,27,205,1169,5000,132,"25 Willansby Ave, Brighton VIC 3186, Australia",3186,Brighton,1,House,915000,http://www.realestate.com.au/property-house-vic-brighton-113087467,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,2
2539,113087471,-37.956253,145.056191,House,1185,3,1,1,37,543,0.57,0.66,316,316,17,40,56,397,1950,293,1256,"35 Tennyson St, Highett VIC 3190, Australia",3190,Highett,1,House,1185000,http://www.realestate.com.au/property-house-vic-highett-113087471,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1
2540,113087863,-37.849493,145.083521,House,661,3,2,2,33,1003,0.74,0.79,392,245,6,25,31,1795,1245,2747,1301,"1256 Toorak Rd, Camberwell VIC 3124, Australia",3124,Camberwell,1,House,660500,http://www.realestate.com.au/property-house-vic-camberwell-113087863,,1,1,1,,,,,1,,,1,1,1,,1,1,,1,,,1,,,,,,1,,,,,,,12
2541,113087943,-37.814457,144.942264,Apartment,840,3,2,2,30,941,0.35,0.41,508,600,15,4,19,691,1729,386,174,"111/30 NewQuay Promenade, Docklands VIC 3008, Australia",3008,Docklands,0,Apartment,840000,http://www.realestate.com.au/property-apartment-vic-docklands-113087943,1,1,,1,,1,1,,1,,,1,1,1,,,,1,1,,,,1,,,,,,,,,,,,12
2542,113088391,-37.901696,145.191818,House,647,4,2,2,43,644,0.57,0.63,393,349,45,37,90,909,4056,910,545,"15 Homestead Dr, Wheelers Hill VIC 3150, Australia",3150,Wheelers Hill,1,House,647000,http://www.realestate.com.au/property-house-vic-wheelers+hill-113088391,,1,,1,,,,,,,1,1,1,1,,,,,,,,1,,,,,,1,,,,,,,8
2543,113088579,-37.867143,144.987982,House,606,3,1,2,33,1061,0.61,0.71,360,252,9,16,25,308,891,1305,129,"4/17 Martin St, St Kilda VIC 3182, Australia",3182,St Kilda,1,Townhouse,606000,http://www.realestate.com.au/property-townhouse-vic-st+kilda-113088579,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3
2544,113088991,-37.875634,145.075709,House,1320,4,2,2,41,900,0.8,0.89,450,245,9,25,34,1364,2649,1204,302,"161 Ashburn Grove, Ashburton VIC 3147, Australia",3147,Ashburton,1,House,1320000,http://www.realestate.com.au/property-house-vic-ashburton-113088991,,1,,1,,,,,1,,,1,1,1,,,1,,,,,,,,,,,1,,,,,,,8
2545,113089415,-37.710834,145.102876,House,400,3,1,2,38,667,0.85,0.9,280,260,17,46,63,668,1302,1415,632,"1/9 Louis St, Greensborough VIC 3088, Australia",3088,Greensborough,1,House,400000,http://www.realestate.com.au/property-house-vic-greensborough-113089415,1,,1,1,,,,,,,1,1,1,,1,,,,,,,,,1,,,,1,,,,,,,9
2546,113089635,-37.710834,145.102876,House,400,2,1,1,38,667,0.85,0.9,280,260,17,46,63,668,1302,1415,632,"2/9 Louis St, Greensborough VIC 3088, Australia",3088,Greensborough,1,Townhouse,400000,http://www.realestate.com.au/property-townhouse-vic-greensborough-113089635,,1,,1,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,5
2547,113089687,-37.833581,145.174742,Unit,433,2,1,2,38,610,0.74,0.8,293,363,25,28,52,947,1647,1884,1003,"16/305 Canterbury Rd, Forest Hill VIC 3131, Australia",3131,Forest Hill,2,Unit,432500,http://www.realestate.com.au/property-unit-vic-forest+hill-113089687,1,1,,1,,,,,,,1,,1,,,,,,,1,,,,,,,,,1,,,,,,7
2548,113089775,-37.810101,144.985939,Apartment,510,2,1,1,32,1286,0.6,0.73,450,457,9,15,24,725,197,846,245,"411p/191 Powlett St, East Melbourne VIC 3002, Australia",3002,East Melbourne,0,Apartment,510000,http://www.realestate.com.au/property-apartment-vic-east+melbourne-113089775,1,1,,,,,1,,,,,1,,,,,,1,1,1,,,1,,,,,,,,,,,,8
2549,113089791,-37.901999,145.120219,House,595,5,3,1,34,462,0.48,0.42,350,394,32,28,59,2385,1416,2341,834,"6 Fairland Ave, Oakleigh East VIC 3166, Australia",3166,Oakleigh East,1,Townhouse,595000,http://www.realestate.com.au/property-townhouse-vic-oakleigh+east-113089791,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,2
2550,113089795,-37.78118,145.122428,House,960,5,3,2,46,573,0.46,0.43,300,155,45,22,80,612,3548,389,398,"4 Vine Ct, Manningham VIC 3108, Australia",3108,Manningham,1,House,960000,http://www.realestate.com.au/property-house-vic-doncaster-113089795,,,,,,,,,,,1,,,1,,,,,,,,1,,1,,1,,1,,,,,,,6
2551,113091111,-38.058185,145.141937,House,570,4,2,2,36,702,0.71,0.69,405,227,45,59,90,1099,5000,1098,701,"15 Stephanie Ct, Patterson Lakes VIC 3197, Australia",3197,Patterson Lakes,1,House,570000,http://www.realestate.com.au/property-house-vic-patterson+lakes-113091111,1,1,1,1,,,,,1,,,,1,1,,,1,,,1,,,,,,1,,,,,,,,,1
2552,113091283,-37.7892708,145.1531231,House,935,5,2,2,37,500,0.51,0.52,300,153,45,26,75,1665,813,392,1725,"2A Franklin Rd, Doncaster East VIC 3109, Australia",3109,Doncaster East,1,Townhouse,935000,http://www.realestate.com.au/property-townhouse-vic-doncaster+east-113091283,,,1,,,,,,,,,,1,1,,,,,,,,,,,,1,,1,1,,,,,,6
2553,113091291,-37.708265,145.121,House,485,3,1,1,40,626,0.8,0.9,315,260,15,48,63,1428,2768,3032,163,"13 Wembley Cl, Briar Hill VIC 3088, Australia",3088,Briar Hill,1,House,485000,http://www.realestate.com.au/property-house-vic-briar+hill-113091291,1,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,1,,,,,,5
2554,113091579,-37.79466,145.114254,House,780,4,3,2,40,576,0.54,0.49,441,131,45,22,68,1440,2080,1353,601,"21 Stanton St, Manningham VIC 3108, Australia",3108,Manningham,1,House,780000,http://www.realestate.com.au/property-house-vic-doncaster-113091579,,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,,,,,4
2555,113091887,-37.865157,145.06771,House,1020,4,2,2,36,918,0.79,0.82,380,245,9,23,32,1943,2506,2309,405,"32 Fuller Ave, Glen Iris VIC 3146, Australia",3146,Glen Iris,1,House,1020000,http://www.realestate.com.au/property-house-vic-glen+iris-113091887,1,1,,1,,,,,1,,,1,1,1,1,,1,,,,,,,1,,,,,1,,,,,,11
2556,113092155,-37.714682,144.750245,House,520,4,2,2,29,779,0.65,0.53,342,600,45,34,81,2079,5000,2979,709,"73 George St, Taylors Hill VIC 3037, Australia",3037,Taylors Hill,1,House,520000,http://www.realestate.com.au/property-house-vic-taylors+hill-113092155,1,1,,1,,1,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,1,1,1,11
2557,113092175,-37.787171,145.147622,Apartment,492,2,1,1,40,515,0.45,0.37,361,155,45,27,80,1883,1315,146,1593,"11/885-889 Doncaster Rd, Doncaster East VIC 3109, Australia",3109,Doncaster East,0,Apartment,492000,http://www.realestate.com.au/property-apartment-vic-doncaster+east-113092175,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,4
